168,239,173,118,251,181,144.18,142.5,129.62,143.68,137.16,52.52,145.7,135.02,143.34,143.66,143.32,144.1,143.12,143.84,141.8,143.36,144.06,136.82,141.56,111.38,144.64,145.96,141.48,144.16,175,241,167,80,252,228,101,252,176,214,99,255,255,108,208
173,239,167,121,252,176,142.24,141.8,126.4,144.16,137.56,57.68,146.44,135.72,143.24,142.28,144.2,143.36,143.44,144.2,142.4,142.64,143.44,138.32,141.12,110.96,145,146.72,140.6,145.12,175,239,165,112,239,221,106,253,166,218,96,255,255,110,204
172,239,169,121,251,172,143.3,141.62,128.94,143.34,138.26,59,145.66,135.04,144.4,142.46,143.94,142.6,143.2,143.34,141.98,143.64,142.9,138.32,141.54,108.04,144.96,145.58,141.38,144.62,174,240,166,89,252,218,103,252,173,216,97,255,255,105,207
169,239,176,122,251,172,143,142.92,131.4,143.76,137.4,63.6,144.64,134.44,143.76,143.48,143.84,144,142.32,144.56,143.08,143.52,143.72,138.72,141.6,102.04,144.68,145.64,139.48,144.72,176,240,165,101,252,216,107,252,170,224,74,255,255,99,196
172,239,171,126,250,172,143.44,142.9,131.8,144.1,137.96,63.98,145.6,135.24,144.38,142.78,144.26,144.74,142.68,145.28,142.16,143.2,143.14,138.48,141.92,110.18,145.26,144.44,141.44,144.22,180,239,167,96,253,227,105,253,175,221,77,255,255,98,203
173,239,170,121,252,176,142.12,142.24,128.08,143.24,137.88,59.16,145.88,134.72,143.84,142.68,143.68,143.44,142.8,143.84,143.12,142.52,144.04,138.48,140.8,105.56,145.48,147.2,141.56,144.72,178,241,165,98,250,214,105,253,175,216,96,255,255,107,212
169,238,174,123,248,173,143.76,138.84,124.02,143.2,136.84,64.26,144.54,136.62,143.64,143.34,144.6,144.8,144.12,145.02,141.78,143.76,143.6,135.34,140.92,109.42,144.74,146.92,137.98,144.94,175,240,164,89,253,226,106,253,172,222,90,255,255,102,204
170,239,169,121,249,178,143.68,139.3,123.78,143.26,137,65.18,144.72,136.28,144.12,143.76,145.04,144.36,144.4,146.58,142,144.28,144.44,137.7,139.86,106.68,145.02,148.22,138.02,145.08,173,242,166,99,252,216,106,252,170,221,91,255,255,103,207
168,238,172,121,248,177,143.38,140.08,125.78,143.32,136.66,63.22,145.38,136.9,143.52,144.08,144.56,143.82,144.72,146.08,142.92,143.22,144.5,137.12,139.66,106.36,145.86,148.78,136.78,145.34,173,240,165,90,253,232,106,251,175,224,90,255,255,105,199
171,239,169,122,248,177,143.44,139.88,123.8,143.32,136.8,63.04,145.28,136.6,144.12,144.2,145.16,145.12,144.52,145.28,142.92,143.8,144,136.6,140.44,106.76,145.36,147.32,138.48,144.88,175,240,164,95,252,218,104,252,178,222,89,255,255,104,206
164,238,181,122,249,179,143.8,140.36,124.1,142.86,137.3,63.06,145.02,137.06,144.18,143.34,145.28,144.6,143.9,144.14,141.74,143.16,143.5,136.42,140.78,107.26,145.32,146.38,137.94,144.6,174,240,166,96,252,219,104,252,178,221,89,255,255,104,207
167,239,176,123,248,177,143.48,140.52,124.52,143.76,136.32,59.56,145.2,137.16,144,143.24,144.96,144.16,144.28,144.84,142.28,143.92,143.64,136.56,140.04,105.76,144.92,147.92,137.8,144.96,175,242,165,94,252,222,103,251,178,221,90,255,255,103,208
199,234,171,175,248,176,142.92,138.98,101.62,144.56,139.56,97.48,144.36,141.72,144.48,143.4,145.84,144.62,145.66,144.28,137.32,145.42,143.66,140.78,140.76,129.24,144.84,147.68,91.86,141.1,205,240,170,190,254,225,166,251,175,249,135,255,255,139,215
198,235,175,176,250,175,142.34,138.44,96.76,145.18,140.08,101.82,144.36,141.4,143.94,143.12,145.04,143.66,148.8,145.9,130.86,145.42,144.48,142.5,141.52,133.08,145.58,147.02,103.9,141.1,204,239,170,192,254,231,165,252,175,249,146,255,255,153,214
201,234,175,174,247,178,142.2,139.14,100.5,145.22,138.78,95.22,144.22,141.44,144.74,142.84,145.3,144.04,146.62,146.74,138.78,144.38,143.34,140.24,141.06,130.28,144.14,145.8,99.52,141.64,207,240,170,188,254,230,163,249,178,250,134,255,255,153,202
201,236,178,173,250,170,141.04,122.88,98.04,143.88,141.56,117.52,142.4,140.64,145.76,145.24,145.76,145.2,147.12,140.4,138,143.76,143.72,138.84,141.48,131.96,145.68,147,114.84,126.84,205,241,165,197,253,215,166,247,173,249,151,255,255,176,197
204,233,173,169,247,178,139.94,124.38,105.94,143.1,140.78,118.62,142.28,140.74,144.88,144.06,145.26,145.52,146.68,145.22,138.28,144.06,143.08,142.22,141.34,133.34,146.22,147.3,106.92,137.16,208,238,166,200,252,196,159,251,177,246,137,255,255,144,208
