0.2707,0.26193,0.27508,0.21809,-3.1311,-0.57537,-0.044934,0.55126,0.81867,0.41536,0.53811,0.40221,0.59784,0.47777,-0.13758,0.43942,-0.55782,-3.1443,0.43608,0.17427,0.53614,0.47277,0.24264,0.46276,115,186,225,43,209,217,48,212,94,192,73,161,161,76,208
0.58714,0.66249,0.031398,-0.039247,-0.51963,-2.7332,-0.28415,-0.78808,1.0534,1.0251,0.27159,0.73314,0.61513,0.91467,0.4134,0.392,0.43785,-0.67167,-1.4969,-2.1969,0.48064,1.2631,-0.75114,0.59984,130,213,146,65,212,218,57,218,100,171,75,161,153,68,207
0.34899,0.28461,0.23416,-0.019863,-3.209,-0.38176,0.36465,0.47426,0.62563,0.38205,0.47426,0.42206,0.81048,1.0037,0.4545,0.39856,-2.1746,-0.6185,-1.3864,-0.52697,0.57909,1.2148,-0.5168,0.76217,141,208,141,55,211,218,40,214,99,175,90,162,155,69,214
0.39179,0.4232,0.34729,0.20855,-3.0165,-0.57154,-0.45112,0.15881,0.76351,0.91795,0.21378,0.61429,0.78286,0.94007,0.43009,0.49144,0.57963,-0.60136,-1.2455,-1.9856,-0.58219,1.5421,-0.91962,0.56813,125,209,151,62,211,220,53,216,85,175,42,194,212,50,180
0.46451,0.31999,0.14566,-0.71224,-2.818,-0.98521,0.46909,0.57002,0.87052,0.51497,0.58149,0.5792,0.82498,0.87854,0.7558,0.488,-1.7191,-0.17928,-1.9981,-0.71042,0.64868,0.87854,-0.65909,0.7915,139,209,143,52,212,218,39,217,99,179,84,149,150,64,212
0.42749,-0.54503,-3.0877,0.28644,0.15652,-0.40398,0.41264,0.60937,0.64278,0.42007,0.55741,0.524,0.51847,0.47085,0.44836,0.46688,0.42322,0.24463,0.44836,-1.3998,0.44968,0.51583,-2.855,0.26844,171,213,154,158,211,170,125,217,110,178,79,188,198,78,198
0.12698,-2.553,-1.7608,0.23148,0.37644,0.0022474,0.54836,0.53151,0.75062,0.52813,0.64612,0.57196,0.5722,0.53454,0.55091,0.50834,0.47231,0.25287,0.34622,-1.4895,0.46085,0.59022,-2.7636,-0.035345,172,213,150,168,211,152,132,215,105,178,85,196,203,87,199
0.17736,-2.717,-1.5185,0.20516,0.22987,0.029088,0.56657,0.49243,0.70557,0.53877,0.63144,0.65924,0.57419,0.51106,0.5273,0.51647,0.42809,0.16474,0.35955,-1.9132,0.4353,0.56337,-2.4994,0.33249,172,214,153,163,212,146,124,218,110,174,87,204,200,92,202
0.42915,-1.8782,-2.4222,0.30959,0.11831,-0.2015,0.53077,0.49191,0.78183,0.55169,0.62342,0.66527,0.59029,0.54098,0.47081,0.51633,0.4765,0.13133,0.24512,-2.3133,0.45374,0.6377,-2.1141,0.3646,157,211,162,122,211,179,91,219,124,170,80,212,211,90,196
0.56253,-1.3248,-2.7586,0.18577,0.053201,-0.29566,0.5102,0.51718,0.77534,0.52067,0.68812,0.56602,0.58228,0.57566,0.4724,0.47637,0.4115,0.26985,0.32016,-1.6074,0.46313,0.65377,-2.7022,0.084507,175,214,156,167,212,169,135,218,108,175,81,189,192,75,203
